repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
jishanshaikh4/assignments,21.00 ,1.00 ,8.00 ,0.00 ,2.00 ,C++
torvalds/uemacs,898.00 ,188.00 ,8.00 ,11.00 ,7.00 ,C
anuraghazra/anuraghazra.github.io,405.00 ,166.00 ,8.00 ,12.00 ,7.00 ,JavaScript
avikalpg/IndianVotingAssistant,6.00 ,1.00 ,8.00 ,0.00 ,0.00 ,Jupyter Notebook
google/acai,73.00 ,34.00 ,8.00 ,1.00 ,3.00 ,Java
marcoscaceres/bib_entry_maker,0.00 ,0.00 ,8.00 ,0.00 ,0.00 ,JavaScript
google/abstracttext,70.00 ,11.00 ,8.00 ,9.00 ,2.00 ,JavaScript
feross/bitmidi.com,488.00 ,63.00 ,8.00 ,18.00 ,7.00 ,JavaScript
ducc/BorkedJavaMusicBot,0.00 ,0.00 ,8.00 ,0.00 ,0.00 ,Java
google/account-provisioning-for-google-apps,50.00 ,26.00 ,8.00 ,5.00 ,3.00 ,Java
smaranjitghose/auto_vaidya,18.00 ,19.00 ,8.00 ,0.00 ,9.00 ,Python
kaushik-rishi/rocketcp,31.00 ,27.00 ,8.00 ,1.00 ,13.00 ,JavaScript
education/graduation,756.00 ,0.00 ,8.00 ,22.00 ,0.00 ,JavaScript
AYIDouble/Binary-Calculator-JavaScript,48.00 ,9.00 ,8.00 ,0.00 ,6.00 ,JavaScript
nerdynikhil/bloggy,2.00 ,4.00 ,8.00 ,0.00 ,3.00 ,Dart
Clueless-Community/clueless-official-website,5.00 ,4.00 ,8.00 ,0.00 ,7.00 ,TypeScript
idvoretskyi/buildbot,0.00 ,0.00 ,8.00 ,0.00 ,5.00 ,HTML
QAInsights/apache-jmeter,1.00 ,0.00 ,8.00 ,0.00 ,0.00 ,NULL
ralexstokes/beacon-api-client,17.00 ,10.00 ,8.00 ,3.00 ,7.00 ,Rust
xbelanch/llegir-en-xarxa,0.00 ,0.00 ,8.00 ,0.00 ,0.00 ,JavaScript
brettkromkamp/topic-db,216.00 ,13.00 ,7.00 ,0.00 ,2.00 ,Python
google/Accessibility-Test-Framework-for-Android,355.00 ,118.00 ,7.00 ,3.00 ,7.00 ,Java
artkirienko/dotfiles,1.00 ,0.00 ,7.00 ,0.00 ,0.00 ,Ruby
benawad/apollo-mocked-provider,89.00 ,24.00 ,7.00 ,20.00 ,9.00 ,TypeScript
vikhyatsingh123/SlugTerra,15.00 ,88.00 ,7.00 ,15.00 ,64.00 ,JavaScript
openfoodfacts/DriveOFF,1.00 ,6.00 ,7.00 ,1.00 ,0.00 ,JavaScript
agamjotsingh18/codesetgo-website,8.00 ,25.00 ,7.00 ,0.00 ,14.00 ,CSS
thepranaygupta/Data-Structures-and-Algorithms,616.00 ,256.00 ,7.00 ,17.00 ,111.00 ,Java
EddieHubCommunity/api,52.00 ,54.00 ,7.00 ,2.00 ,20.00 ,TypeScript
avikalpg/free-time,2.00 ,5.00 ,7.00 ,0.00 ,2.00 ,JavaScript
adrianhajdin/portfolio_website,0.00 ,421.00 ,7.00 ,10.00 ,2.00 ,JavaScript
artkirienko/dotfiles,1.00 ,0.00 ,7.00 ,0.00 ,0.00 ,Ruby
openfoodfacts/folksonomy_engine,2.00 ,1.00 ,7.00 ,0.00 ,2.00 ,NULL
cheeaun/busrouter-sg,281.00 ,97.00 ,7.00 ,8.00 ,2.00 ,JavaScript
ricksaha2000/JAVA,2.00 ,7.00 ,7.00 ,2.00 ,7.00 ,Java
taranjeet/django-starter-skeleton,2.00 ,0.00 ,7.00 ,0.00 ,0.00 ,Python
defuse/crackstation,103.00 ,35.00 ,7.00 ,0.00 ,5.00 ,Hack
offensive-security/nethunter-LRT,289.00 ,94.00 ,7.00 ,2.00 ,7.00 ,NULL
simonw/airtable-export,69.00 ,8.00 ,7.00 ,2.00 ,3.00 ,Python
adrianhajdin/project_fitness_app,455.00 ,138.00 ,7.00 ,2.00 ,0.00 ,JavaScript
agamjotsingh18/codesetgo-website,8.00 ,25.00 ,7.00 ,0.00 ,14.00 ,CSS
btholt/complete-intro-to-containers,765.00 ,166.00 ,6.00 ,21.00 ,11.00 ,JavaScript
mitsuhiko/classy,268.00 ,43.00 ,6.00 ,7.00 ,4.00 ,Python
taranjeet/code-snippets,4.00 ,1.00 ,6.00 ,0.00 ,0.00 ,NULL
kdeldycke/click-extra,9.00 ,2.00 ,6.00 ,4.00 ,5.00 ,Python
WhiteHouse/datacenters,21.00 ,39.00 ,6.00 ,11.00 ,11.00 ,JavaScript
offensive-security/kali-cloud-build,90.00 ,135.00 ,6.00 ,1.00 ,0.00 ,NULL
kdeldycke/kdeldycke,2.00 ,3.00 ,6.00 ,0.00 ,2.00 ,NULL
kdeldycke/mail-deduplicate,127.00 ,34.00 ,6.00 ,10.00 ,18.00 ,Python
WhiteHouse/logger,5.00 ,7.00 ,6.00 ,0.00 ,3.00 ,PHP
dwij2812/FlightBooking-system,6.00 ,2.00 ,6.00 ,21.00 ,2.00 ,CSS
andrewjmead/node-course-v3-code,569.00 ,391.00 ,6.00 ,1.00 ,0.00 ,JavaScript
byt3bl33d3r/duckhunter,96.00 ,39.00 ,6.00 ,0.00 ,2.00 ,Python
jishanshaikh4/cryptography-roadmap,24.00 ,5.00 ,6.00 ,0.00 ,0.00 ,NULL
mager/floor.report.old,0.00 ,0.00 ,6.00 ,0.00 ,0.00 ,TypeScript
curiousily/Deep-Learning-For-Hackers,824.00 ,391.00 ,6.00 ,0.00 ,0.00 ,Jupyter Notebook
varunKT001/testing-github-templates,1.00 ,0.00 ,6.00 ,0.00 ,0.00 ,NULL
defuse/crackstation-hashdb,296.00 ,106.00 ,6.00 ,1.00 ,2.00 ,PHP
EddieHubCommunity/gh-actions-html-table-generator,23.00 ,13.00 ,6.00 ,0.00 ,6.00 ,JavaScript
EddieHubCommunity/template,6.00 ,10.00 ,6.00 ,1.00 ,10.00 ,NULL
Ishita-0112/Pysa-Hack,0.00 ,0.00 ,6.00 ,1.00 ,2.00 ,Python
trailofbits/AppJailLauncher,133.00 ,19.00 ,6.00 ,0.00 ,5.00 ,C++
aloisdeniel/built_vector,33.00 ,6.00 ,6.00 ,1.00 ,0.00 ,Dart
aloisdeniel/built_vector,33.00 ,6.00 ,6.00 ,1.00 ,0.00 ,Dart
donnemartin/viz,759.00 ,123.00 ,6.00 ,0.00 ,0.00 ,Python
localstack/awscli-local,702.00 ,58.00 ,6.00 ,0.00 ,14.00 ,Python
nikhilkumarsingh/facebook-messenger-bot,16.00 ,16.00 ,6.00 ,0.00 ,0.00 ,Python
iamshaunjp/django-playlist,162.00 ,186.00 ,6.00 ,5.00 ,0.00 ,NULL
btholt/complete-intro-to-react-v7,528.00 ,125.00 ,6.00 ,13.00 ,13.00 ,JavaScript
iamshaunjp/django-playlist,162.00 ,186.00 ,6.00 ,5.00 ,0.00 ,NULL
localstack/helm-charts,28.00 ,44.00 ,6.00 ,1.00 ,20.00 ,Smarty
Abhishek-kumar09/AutoBot,2.00 ,0.00 ,6.00 ,0.00 ,4.00 ,JavaScript
aloisdeniel/dio_retry,46.00 ,34.00 ,5.00 ,1.00 ,2.00 ,Dart
